energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,music_features,uri
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,string
,,,,,,,,,,,,class,meta
0.506,0.0774,169.866,0.29,0.0346,0.0,4.0,0.694,4.0,262687.0,-10.272,0.263,alexeifloyd-0p2qr9FmaUPvveDs2NdxbE,spotify:track:4lNriuYNZD2YP2OPG6xOte
0.532,0.0825,115.05,0.0528,0.402,0.0,4.0,0.691,11.0,289133.0,-7.524,0.282,alexeifloyd-0p2qr9FmaUPvveDs2NdxbE,spotify:track:3yhhVI7szVLsqVKt9gg01e
0.139,0.133,88.727,0.045,0.988,0.00265,4.0,0.536,5.0,178667.0,-14.815,0.34,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:5BQLFGCDxrMklI70r1JjJ9
0.16,0.145,141.407,0.0411,0.88,3.18e-06,4.0,0.421,1.0,182787.0,-12.614,0.232,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:4UijURYBXtsAQ3Qte9P3z7
0.121,0.106,130.172,0.0536,0.988,0.0574,4.0,0.567,5.0,192173.0,-14.665,0.417,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:1antLybQoWgahvRksuGmMc
0.412,0.106,76.632,0.199,0.865,0.0107,4.0,0.733,5.0,183467.0,-5.828,0.638,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:17K0nITjaXnyWXBB0pxmvU
0.0585,0.112,91.395,0.0354,0.993,0.022,4.0,0.515,5.0,187520.0,-17.397,0.146,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:17zojUZck6m8N5hXtgLtiP
0.109,0.136,89.211,0.054,0.994,0.859,4.0,0.606,8.0,185600.0,-16.841,0.585,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:23QgV9Tz2jiQtVyNLbOqy1
0.683,0.278,187.441,0.242,0.742,0.00529,4.0,0.549,3.0,144117.0,-8.898,0.902,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:1jltATYx5GJIesje62qdw4
0.198,0.0776,107.081,0.0366,0.978,0.0,4.0,0.688,3.0,174823.0,-12.945,0.555,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:2Mqggm27ZkH3EyscmCDnIg
0.463,0.114,104.544,0.0374,0.479,0.0,4.0,0.557,0.0,147173.0,-7.867,0.536,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:3RVlXSaYyd1JOyXPbnE9IV
0.101,0.0964,82.442,0.0351,0.956,0.000149,4.0,0.232,0.0,180040.0,-16.178,0.214,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:0ZXDLrn7oIc06JFwvJLy1y
0.278,0.276,92.995,0.0343,0.979,4.74e-05,3.0,0.655,5.0,133120.0,-12.914,0.859,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:4hmKe6YigInvKIPFd1xT03
0.264,0.132,156.056,0.0518,0.879,0.0,4.0,0.64,10.0,188440.0,-10.144,0.777,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:0oulhgKMk5RUADidNicdky
0.182,0.0732,204.163,0.069,0.891,0.000429,3.0,0.404,1.0,115696.0,-13.295,0.842,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:7DKjnQH7yeCUPXX88Hh12p
0.491,0.146,121.324,0.0414,0.906,0.92,4.0,0.605,5.0,158840.0,-15.808,0.75,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:4rwcwWufNLwNDU7VmyuRr7
0.368,0.122,105.224,0.0451,0.36,0.902,4.0,0.753,0.0,84600.0,-13.467,0.542,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:4LMWjZNjgo9baLaP3BBTSU
0.43,0.0877,113.466,0.0793,0.938,0.954,4.0,0.789,0.0,74907.0,-14.325,0.864,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:0KahNDvAi7wI7DI8kgSFq4
0.287,0.0979,143.995,0.0345,0.925,0.000153,3.0,0.443,1.0,235493.0,-11.406,0.388,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:6SzIPSGLLBKUTdBwEPQCPa
0.373,0.116,144.591,0.027,0.909,4.35e-06,4.0,0.692,10.0,146080.0,-12.201,0.782,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:1wK9cRMY8HBmRLiNm72MBG
0.156,0.105,113.96,0.0329,0.532,0.0,4.0,0.644,1.0,171427.0,-16.529,0.744,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:5RLzsVW6UNiV2YrOlKwzNN
0.557,0.0861,171.617,0.069,0.498,1.22e-05,4.0,0.621,5.0,177760.0,-12.68,0.803,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:4ELT0zRdJTOCUbx90ozKAQ
0.229,0.125,122.789,0.0309,0.802,0.0,4.0,0.552,9.0,184107.0,-12.242,0.442,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:4UtDrwAkSbrZgAUQSWKcti
0.0748,0.334,78.99,0.0368,0.979,0.00137,4.0,0.302,7.0,130357.0,-22.072,0.228,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:6sbZNeGOLDz7WqLk0Nd51J
0.203,0.167,108.137,0.0272,0.853,0.0515,4.0,0.491,3.0,173035.0,-11.366,0.436,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:2qNJc0MstfUO9KmRC8Buqe
0.289,0.0546,93.875,0.036,0.972,0.000671,4.0,0.701,5.0,199573.0,-8.592,0.818,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:64QH2HnABZEbCbbnTifAuu
0.474,0.258,116.027,0.0491,0.803,0.0,4.0,0.726,1.0,235733.0,-7.834,0.57,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:0AQquaENerGps8BQmbPw14
0.378,0.156,95.484,0.028,0.881,1.07e-06,4.0,0.232,8.0,155467.0,-9.035,0.127,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:1mPNQGFWnoZpE4ntPOPYt5
0.267,0.105,126.413,0.0958,0.949,0.000174,4.0,0.66,10.0,158080.0,-8.309,0.293,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:0VFmGuupmYD1xoPak8P7JD
0.251,0.136,81.877,0.0309,0.904,0.00211,4.0,0.284,4.0,181000.0,-12.587,0.159,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:0PzXSJps4FReIpjzupDUnG
0.345,0.299,132.241,0.0555,0.616,0.0,4.0,0.659,6.0,144693.0,-7.893,0.725,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:7coH7f2P7SiLxmo95b5QHX
0.222,0.222,126.419,0.0517,0.907,2.08e-05,4.0,0.729,9.0,196347.0,-13.938,0.642,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:1FyZ0UNWTkvjV8hgHxZ4Uc
0.0531,0.114,92.938,0.0518,0.91,3.79e-05,3.0,0.443,0.0,144800.0,-22.522,0.218,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:1R1MfNbjrkN76JSkFXZTl3
0.314,0.145,84.322,0.0531,0.994,0.000704,4.0,0.7,5.0,108957.0,-9.276,0.511,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:5Ez19yUSWoNg8iLNEQMvs1
0.178,0.513,91.243,0.0322,0.883,0.0,4.0,0.362,11.0,180133.0,-9.6,0.248,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:2iAlDwRozfuIgjvqSJWsw4
0.456,0.265,121.158,0.039,0.886,0.00167,4.0,0.711,0.0,147215.0,-11.788,0.782,alexeifloyd-0YuOICv0K5c8zod1SpMl33,spotify:track:6Z0UPq98UiEm7h1tHoYwzs
0.764,0.263,123.873,0.0315,0.0222,0.00932,4.0,0.683,7.0,269000.0,-7.89,0.738,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:33iAwBBb962LFQei4J0b0b
0.919,0.178,126.57,0.0572,0.0441,9.19e-06,4.0,0.594,2.0,236560.0,-6.387,0.529,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:2QyGSbGdT9suKuDKwnjwH9
0.477,0.0237,119.975,0.0808,0.0181,2.08e-06,4.0,0.949,0.0,148193.0,-9.205,0.628,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:3tYFoEmZ42bTUFMs266Ue0
0.869,0.0678,109.902,0.037,0.0116,0.173,4.0,0.596,10.0,238733.0,-11.97,0.944,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:05wIrZSwuaVWhcv5FfqeH0
0.799,0.055,108.382,0.0598,0.0821,0.00154,4.0,0.644,4.0,246573.0,-10.856,0.889,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:3Pu3IChaAoa5EjgUBv5F6x
0.976,0.182,113.357,0.0428,0.0262,2.41e-05,4.0,0.695,8.0,212400.0,-6.982,0.937,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:0FutrWIUM5Mg3434asiwkp
0.452,0.339,77.038,0.0454,0.277,2.33e-06,5.0,0.821,7.0,127627.0,-10.215,0.884,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:23V08GxMeaZNSf8Gy6KF6t
0.294,0.0706,108.527,0.0537,0.837,0.0,4.0,0.618,9.0,147400.0,-13.03,0.63,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:0qwzC38XHdo8nmulMRLbQn
0.923,0.314,161.704,0.0606,0.0364,0.0331,4.0,0.547,1.0,91733.0,-6.848,0.854,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:0KrmvQ1HsaWgeWSh8Cdb0o
0.429,0.617,80.325,0.321,0.915,0.0,4.0,0.749,2.0,84827.0,-8.908,0.954,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:0gdLTqxAY4DDUQxXzmwj1z
0.616,0.105,75.019,0.0509,0.208,1.72e-05,4.0,0.679,1.0,222720.0,-9.456,0.766,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:2610Dt6LdipNXqm9W4QUhy
0.902,0.0928,84.412,0.054,0.018,0.00125,4.0,0.573,6.0,225280.0,-7.638,0.876,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L
