energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.905,0.0886,138.05,0.12,0.0214,0.755,4,0.411,6,440571,-8.315,0.0868,0,audio_features,spotify:track:1KTvQIjZbJBsJ8Sc3EGXxX
0.911,0.11,138.014,0.0575,0.000937,0.762,4,0.743,7,448575,-5.329,0.292,1,audio_features,spotify:track:34qRWfLf8kLsAD3h2V367G
0.856,0.096,139.005,0.0468,0.000108,0.844,4,0.647,8,455899,-6.715,0.169,1,audio_features,spotify:track:1CMOvTp6LSIZe9hvRZhagb
0.922,0.109,141.976,0.0553,0.000454,0.797,4,0.6,9,392113,-7.528,0.0767,1,audio_features,spotify:track:72H560j4VziDl7zOJVkn22
0.924,0.227,145.003,0.0365,0.00171,0.677,4,0.547,7,483310,-6.018,0.153,1,audio_features,spotify:track:7f05G3QijJGHGELKbvL05K
0.886,0.311,138.026,0.0893,0.0033,0.76,4,0.448,9,452174,-8.021,0.115,1,audio_features,spotify:track:1CITveo6xuGMffAgx4Jbe8
0.959,0.071,140.023,0.0691,0.000238,0.88,4,0.588,11,398143,-6.72,0.258,1,audio_features,spotify:track:3tM6D2LCRA2d98nehZkSUx
0.797,0.165,142.009,0.0764,4.81e-05,0.811,4,0.68,9,379384,-8.195,0.0671,1,audio_features,spotify:track:6jRRuKLVBXeDq4M1X77yjW
0.815,0.303,142.003,0.0582,0.000882,0.86,4,0.604,9,451268,-6.541,0.0395,0,audio_features,spotify:track:1f8hDvNuRTUxUPh8Zgeo8C
0.96,0.112,140.011,0.06,0.00014,0.813,4,0.62,7,454286,-5.264,0.21,1,audio_features,spotify:track:1F6wLTNVQa4kXI7tGW6OoI
0.95,0.107,140.013,0.0572,0.000963,0.877,4,0.667,0,481808,-6.696,0.21,1,audio_features,spotify:track:66JSwcAphEicSLfcY03J3X
0.756,0.166,138.004,0.0798,0.011,0.606,4,0.68,11,419130,-6.469,0.339,0,audio_features,spotify:track:08rE1xda98LCbl4wpO0bY0
0.964,0.42,148.025,0.0658,0.000211,0.699,4,0.522,6,480000,-5.231,0.221,0,audio_features,spotify:track:0yADro8UW3361CYXu2JEC4
0.953,0.112,143.022,0.0424,0.00026,0.672,4,0.66,7,443077,-5.834,0.117,1,audio_features,spotify:track:0nJUH9p6QWGe784XOjIjZd
0.981,0.203,144.008,0.0444,0.000157,0.778,4,0.636,1,420000,-5.706,0.0472,1,audio_features,spotify:track:0f6m4aY3YhGXMvRm8LxGqn
0.881,0.735,140.013,0.089,0.00211,0.812,4,0.636,6,421714,-6.571,0.146,0,audio_features,spotify:track:6iWYnWkYr8VwpSSY9elHUg
0.941,0.278,140.028,0.0764,0.000488,0.846,4,0.632,11,486857,-6.921,0.044,0,audio_features,spotify:track:5RXeMlx6kr41q4ZXYspb8V
0.906,0.16,142.014,0.0475,0.00156,0.841,4,0.563,8,446197,-6.629,0.141,1,audio_features,spotify:track:2Zs55nKpO1WHieRQuJjSlI
0.779,0.286,144.948,0.0511,0.00326,0.842,3,0.684,4,511180,-6.874,0.203,0,audio_features,spotify:track:5YhpFPg1cskSdDQykDTRql
0.925,0.347,144.986,0.0462,0.000665,0.666,4,0.687,11,461308,-7.088,0.114,0,audio_features,spotify:track:2wiRM8wg94hlXdmHD5cNU4
0.969,0.331,139.995,0.0432,0.000333,0.303,4,0.656,6,397821,-5.095,0.262,0,audio_features,spotify:track:0fx2kv78CkgEbsbLicCAxH
0.875,0.528,138.017,0.0378,0.00199,0.782,4,0.625,2,441739,-6.024,0.186,1,audio_features,spotify:track:6g3MI25BpQL8Pei6w5lHH0
0.99,0.254,145.018,0.06,0.000187,0.758,4,0.656,1,460500,-6.355,0.25,0,audio_features,spotify:track:0qpzUMnxjbNKSh6WaBbcAR
0.95,0.182,138.99,0.0424,0.00106,0.839,4,0.677,7,455616,-5.852,0.145,1,audio_features,spotify:track:3MZkSheyVzljdhhIFD3xrX
0.924,0.0758,141.99,0.0392,0.000462,0.72,4,0.556,0,425916,-5.151,0.0932,1,audio_features,spotify:track:0KK4LzSuIhczlPBcNeGkLK
0.975,0.695,144.994,0.0512,0.000192,0.844,4,0.623,1,435310,-5.109,0.395,1,audio_features,spotify:track:4yNleKROzzDs2tHDQ0w8gI
0.602,0.0865,138.019,0.0612,0.0216,0.101,4,0.716,1,340978,-9.574,0.181,1,audio_features,spotify:track:49kToqJEmdODAK7B5zewPN
0.942,0.43,143.005,0.0376,0.000624,0.823,4,0.543,6,449790,-6.976,0.185,0,audio_features,spotify:track:7JpL6mn6YIZMQrZcD8T94A
0.738,0.65,137.985,0.0464,0.00687,0.314,4,0.533,11,391816,-7.254,0.0479,0,audio_features,spotify:track:4xcK5RRCjwma7iIjkGT4pt
0.904,0.207,140.024,0.113,0.0796,0.893,4,0.611,2,445179,-7.977,0.235,1,audio_features,spotify:track:1LboZXpXVZt7GpFdBN83l9
0.96,0.326,143.006,0.0513,0.00019,0.813,4,0.563,9,478322,-7.065,0.465,1,audio_features,spotify:track:1ocjyjVye0RODAFsM3qeNc
0.941,0.358,144.017,0.0491,4.07e-05,0.714,4,0.602,11,440000,-5.444,0.0415,0,audio_features,spotify:track:2WFdNFfG0JpmIYmF8H527b
