energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.843,0.0611,154.974,0.0776,0.00281,0.0367,4,0.407,7,340627,-8.43,0.619,0,audio_features,spotify:track:4kL8wGehAFldF9gtWJF1jE
0.947,0.125,120.021,0.122,0.000597,0.00223,4,0.5,7,221974,-5.75,0.267,0,audio_features,spotify:track:67AwhpUrZfSLwK2ekFptmM
0.987,0.669,89.986,0.148,0.00122,0.000279,4,0.552,11,310267,-3.642,0.272,1,audio_features,spotify:track:0QB98b4YFxtW4NQ9narHQM
0.931,0.251,123.03,0.0612,2.93e-05,0.00113,4,0.467,10,244318,-6.438,0.447,1,audio_features,spotify:track:4MYuqU9LuwW0r4iNFXVYEM
0.964,0.215,138.006,0.15,0.000137,0.0,4,0.468,10,189506,-5.144,0.392,0,audio_features,spotify:track:08tiBcNIXLShotCLaXO1GX
0.837,0.179,130.086,0.053,0.00226,2.48e-05,4,0.606,2,217705,-5.913,0.626,0,audio_features,spotify:track:1EZuFDPgDJW6h8ol9ayPfk
0.767,0.109,180.024,0.0548,0.00116,0.000798,4,0.473,5,328387,-6.383,0.375,1,audio_features,spotify:track:7pS3O75hJnthHr64tlpqPn
0.952,0.316,184.916,0.0677,0.000159,3.72e-05,4,0.394,7,315173,-4.51,0.477,0,audio_features,spotify:track:5o8OdhjVZSF2wCj7M8UpMN
0.703,0.142,151.297,0.0348,0.00847,7.39e-05,4,0.286,4,326813,-4.491,0.259,0,audio_features,spotify:track:7Hr1Ignop7cymbE3FbOtXa
0.663,0.0765,135.022,0.0264,0.0886,0.0,4,0.552,4,281227,-4.805,0.119,0,audio_features,spotify:track:1I5RmSqq96UQnjT9EKGMso
0.916,0.154,94.963,0.0501,0.000391,0.00117,3,0.499,9,656493,-4.785,0.251,0,audio_features,spotify:track:53jogSv23P6DFcOHcZrDs9
0.833,0.0327,88.785,0.304,0.0266,0.0,4,0.466,7,313573,-4.215,0.661,1,audio_features,spotify:track:59WN2psjkt1tyaxjspN8fp
