energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.646,0.201,78.828,0.0361,0.244,0.00723,4,0.343,4,298600,-10.905,0.469,0,audio_features,spotify:track:5dHgIhavWp1dJspKpWBjDq
0.329,0.0559,132.282,0.0279,0.756,0.0105,4,0.299,3,218187,-10.096,0.392,1,audio_features,spotify:track:2rG2c14sIgzyIRdbw3edaL
0.358,0.114,127.968,0.0287,0.853,1.27e-05,4,0.426,8,245533,-9.223,0.352,1,audio_features,spotify:track:39vJleXN4h12BQExhj0Kqk
0.234,0.0769,78.991,0.0328,0.899,0.000803,4,0.219,11,269120,-9.336,0.144,0,audio_features,spotify:track:6xh9JILM2rzAtRynrTAAhe
0.499,0.104,110.297,0.0286,0.61,0.00101,4,0.65,2,252600,-9.464,0.753,1,audio_features,spotify:track:7wqojWtf69NNjw3P5wMst6
0.459,0.219,97.863,0.0267,0.848,0.000339,4,0.41,7,334627,-7.365,0.48,1,audio_features,spotify:track:0HjlbE5iurkc4n2efskB57
0.42,0.158,170.125,0.0277,0.631,0.0,4,0.396,2,210680,-9.255,0.485,1,audio_features,spotify:track:0oOdE0KVbXNDHdxja2Uf1Y
0.733,0.752,123.969,0.0448,0.392,0.000109,4,0.612,1,351453,-7.49,0.306,0,audio_features,spotify:track:6C8vYMJuUYdHStoyzDiAeG
0.457,0.105,150.953,0.0468,0.595,0.0,4,0.686,11,242187,-8.322,0.718,1,audio_features,spotify:track:1EzrEOXmMH3G43AXT1y7pA
0.757,0.0886,159.911,0.153,0.286,0.0,4,0.652,1,233305,-6.819,0.962,1,audio_features,spotify:track:6NPVjNh8Jhru9xOmyQigds
0.283,0.129,127.305,0.0383,0.905,2.61e-05,4,0.618,2,183227,-15.829,0.732,0,audio_features,spotify:track:5D0F36qJJblQ6mXMuIrH3C
0.752,0.647,125.797,0.058,0.018,3.73e-06,4,0.584,8,228173,-6.689,0.791,1,audio_features,spotify:track:0zCfmceT1YvtZXGbR6Roht
0.486,0.116,120.003,0.029,0.0164,2e-06,4,0.668,1,176800,-8.373,0.89,1,audio_features,spotify:track:399ZzZlv1VpWwmnGam04ls
0.688,0.0924,123.125,0.0254,0.39,1.03e-06,4,0.686,6,212373,-4.981,0.493,0,audio_features,spotify:track:4T6HLdP6OcAtqC6tGnQelG
0.883,0.183,123.982,0.0333,0.0176,0.0,4,0.609,2,190467,-3.93,0.634,1,audio_features,spotify:track:4CbZ7egFPLVVdgloG48RkP
0.321,0.112,81.823,0.0271,0.671,1.66e-06,4,0.515,1,240187,-8.798,0.324,1,audio_features,spotify:track:4QsnHKvJGVbWJs3Em9Mrcy
0.441,0.155,111.757,0.0281,0.676,1.45e-06,5,0.306,9,237411,-7.484,0.224,0,audio_features,spotify:track:6RpDBpuTUZ2Iw6DsYDEBJL
0.487,0.0579,117.072,0.0299,0.253,0.0,4,0.521,6,173040,-7.525,0.483,0,audio_features,spotify:track:6iGU74CwXuT4XVepjc9Emf
0.238,0.17,138.063,0.0302,0.907,0.000881,4,0.434,2,290267,-11.926,0.193,1,audio_features,spotify:track:5iTFBGI1y3HGcqE2DWd5Bf
0.558,0.113,96.887,0.0246,0.492,0.00563,4,0.721,9,234867,-8.8,0.542,1,audio_features,spotify:track:6BQNJ0JFKh8sWjQLI6Zudi
0.309,0.124,112.929,0.0264,0.526,0.000249,4,0.648,2,303213,-12.432,0.407,1,audio_features,spotify:track:5l9c6bJmzvftumhz4TMPgk
0.362,0.11,123.897,0.0764,0.805,0.000729,4,0.785,5,181130,-14.319,0.35,1,audio_features,spotify:track:3nmAzbXHDexo40lC7eLElh
0.408,0.103,116.831,0.0532,0.203,0.0,4,0.86,6,256733,-8.841,0.53,0,audio_features,spotify:track:2Y9WfjpGt3kzv7cbRl3s3O
0.76,0.0706,118.829,0.0411,0.148,0.0116,4,0.51,0,170787,-6.995,0.55,1,audio_features,spotify:track:5YtxOL4iUchhynLL9nEBwQ
0.355,0.735,165.961,0.0345,0.0563,0.0,4,0.39,5,218267,-13.509,0.262,1,audio_features,spotify:track:6YNCE5qtrTa7YcnAOAEsDQ
0.344,0.108,123.929,0.0418,0.725,0.0,4,0.731,11,247280,-8.987,0.25,1,audio_features,spotify:track:5zXu8n7u4tPh7OLp4jOVt5
