energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.293,0.371,142.448,0.0336,0.97,0.00617,3,0.272,8,187368,-11.125,0.203,1,audio_features,spotify:track:7K0LrxvdLWciDepTf6K7Mr
0.424,0.292,151.236,0.0447,0.881,0.883,4,0.508,10,199121,-12.922,0.78,1,audio_features,spotify:track:4ydC2oU3kSLKlkcTBQvv7M
0.341,0.0425,140.338,0.0488,0.987,0.0,4,0.796,5,166343,-9.087,0.682,1,audio_features,spotify:track:1dEPlSQoQwKmrFt4GJVXY1
0.0605,0.197,131.66,0.0404,0.983,0.292,3,0.482,8,159683,-13.303,0.273,1,audio_features,spotify:track:2yNEfdkpnYIgz2RXqOnPlt
0.188,0.145,80.317,0.072,0.951,9e-06,4,0.836,10,191573,-14.082,0.71,1,audio_features,spotify:track:3wvGD4e8GqB3R8oLiEfw8X
0.414,0.0993,82.544,0.097,0.883,0.402,4,0.674,8,215667,-8.278,0.79,1,audio_features,spotify:track:43gMSeNN3cX9TKEeIQi4lS
0.362,0.193,128.735,0.0398,0.992,0.903,4,0.678,0,203227,-8.196,0.579,0,audio_features,spotify:track:5MoG3AsCpEJWlQjCLCmfbA
0.528,0.106,94.42,0.273,0.933,0.85,4,0.725,1,176107,-9.788,0.844,1,audio_features,spotify:track:6BbD7fjTwh3681BnaoLHqi
0.19,0.228,78.883,0.0357,0.977,0.0077,5,0.352,1,207800,-12.091,0.22,1,audio_features,spotify:track:2XXCJwK2Eggtl9pE9iBVa2
0.516,0.192,144.07,0.078,0.948,0.0579,4,0.561,0,214560,-7.283,0.62,1,audio_features,spotify:track:2WOMiAImEVVmHp6bGsWeUH
0.146,0.0954,120.291,0.0444,0.977,0.0647,4,0.6,7,153707,-8.867,0.254,0,audio_features,spotify:track:0t832xvb315wIVNvYPnrhQ
0.339,0.0831,80.335,0.0477,0.912,0.0327,4,0.68,4,192493,-8.118,0.67,0,audio_features,spotify:track:0w6BZpp66WAIsPkp4WtHYI
0.168,0.107,133.81,0.0312,0.986,0.68,4,0.265,0,199133,-13.418,0.0754,1,audio_features,spotify:track:1fL5McupXBbcskbkPHII7i
0.566,0.203,123.239,0.187,0.844,0.907,4,0.623,1,301067,-9.249,0.789,1,audio_features,spotify:track:2Ad1J6NIQ17ZBStBhkfhT8
0.194,0.037,100.863,0.0379,0.971,0.164,4,0.494,3,179440,-10.067,0.308,1,audio_features,spotify:track:1tHo6TvNSeri0JXa4ZvhUQ
