energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.947,0.108,124.993,0.0461,0.0414,0.612,4,0.56,8,362880,-5.549,0.117,0,audio_features,spotify:track:24AcdQUEAuZtBDXubW7vL9
0.869,0.0651,127.802,0.0417,0.000667,0.604,4,0.674,7,191250,-4.758,0.071,0,audio_features,spotify:track:1hbDPzm6GcTUEEDcW1ClKj
0.982,0.599,125.981,0.111,0.0214,0.43,4,0.701,5,288095,-3.056,0.197,0,audio_features,spotify:track:66RpVMEkgt5Ew7UWL9qswY
0.896,0.356,122.998,0.115,0.0436,0.552,4,0.834,0,327805,-5.303,0.735,1,audio_features,spotify:track:27nfKLXSw4Mmg0JMDcke93
0.948,0.129,127.012,0.114,0.00244,0.756,4,0.731,11,202205,-3.473,0.314,0,audio_features,spotify:track:5kVAp9lANGadGK1s7mxv0h
0.928,0.195,161.925,0.0894,8.08e-05,4.76e-05,4,0.262,9,233520,-2.795,0.533,1,audio_features,spotify:track:0W43LnKXzRivi0WPaoBLVO
0.938,0.118,123.992,0.0505,0.592,0.0193,4,0.767,5,229805,-4.433,0.868,0,audio_features,spotify:track:1TAC5SANfK7l6wGHtUQ7MX
0.951,0.319,106.019,0.189,0.482,0.00305,4,0.802,10,191493,-3.933,0.695,0,audio_features,spotify:track:7gHkDNieGzYmyuC7E1Xbxw
0.92,0.0907,144.009,0.0331,0.000472,0.687,4,0.493,10,184000,-6.39,0.804,0,audio_features,spotify:track:0fkgNje097R3eszeV59iTI
0.98,0.084,136.087,0.0469,0.169,0.982,4,0.539,11,225373,-8.18,0.522,0,audio_features,spotify:track:24CXuh2WNpgeSYUOvz14jk
0.976,0.217,152.972,0.199,0.00161,0.906,4,0.624,7,235294,-4.149,0.682,1,audio_features,spotify:track:0qwHWV9v97T58RRqGsZMGO
0.808,0.517,143.04,0.101,0.181,0.0,4,0.788,8,302000,-4.77,0.844,0,audio_features,spotify:track:3kZoay4ANo86ehb6s4RwS9
0.851,0.405,128.103,0.0334,0.006,0.0242,4,0.554,6,196800,-10.526,0.96,0,audio_features,spotify:track:0BB9eUBBaaX6GALSYNcEp7
0.892,0.0712,127.04,0.133,0.178,4.19e-05,4,0.761,6,255173,-5.354,0.935,1,audio_features,spotify:track:5iJfzXKvQXlYOBtEQhEmpA
0.664,0.0908,128.467,0.311,0.00471,0.0,4,0.933,1,262827,-11.281,0.616,1,audio_features,spotify:track:7MCNnnmwm7TXMh7xyNGohi
0.96,0.08,162.036,0.0527,0.000716,0.764,4,0.495,1,174525,-3.975,0.75,1,audio_features,spotify:track:4C64ZXG24vRJ4lwkxCA24G
0.776,0.0826,129.993,0.0363,0.369,0.754,4,0.638,0,264957,-7.686,0.447,1,audio_features,spotify:track:4dsS8kKgN1QLjZPBtNgpnd
0.415,0.0957,76.827,0.04,0.6,0.93,3,0.227,7,96021,-12.693,0.0386,1,audio_features,spotify:track:4PO0M9d9Aqo12ezXFRmdFg
0.714,0.138,180.055,0.0529,0.0191,0.905,3,0.426,5,149413,-8.52,0.502,0,audio_features,spotify:track:5xF4RLMluqmNFKQZpqd55M
0.379,0.0907,106.035,0.0312,0.0887,0.784,4,0.335,0,146395,-14.231,0.233,0,audio_features,spotify:track:4lqhUYSXqgcGjePtCXCInX
0.939,0.262,99.975,0.0441,0.013,0.277,4,0.649,9,202197,-4.551,0.589,0,audio_features,spotify:track:41WsmkonuFoEd9U9EOS4m1
0.837,0.338,100.023,0.0671,0.024,8.14e-05,4,0.727,9,194840,-7.336,0.565,1,audio_features,spotify:track:3IqI8boTYbqJKEybByt4T3
0.583,0.0922,103.006,0.149,0.194,0.0,4,0.886,8,279757,-6.639,0.883,0,audio_features,spotify:track:2odzriVVZBwYOiYJEj30tm
0.776,0.204,119.981,0.0388,0.0448,0.0308,4,0.77,11,240467,-6.417,0.779,0,audio_features,spotify:track:3IHaUlCev0cyNJLHEf1jlh
0.755,0.272,147.162,0.067,6.72e-05,0.076,4,0.312,5,208973,-1.673,0.288,0,audio_features,spotify:track:10qbHF920zH5K8C8IcE5AL
0.985,0.0896,135.023,0.0446,0.00961,0.825,4,0.448,0,304880,-1.28,0.102,0,audio_features,spotify:track:2MBJZgztmtwcIsKXXwLxZI
0.56,0.126,85.017,0.0358,0.000918,0.823,4,0.513,10,363707,-11.365,0.0379,0,audio_features,spotify:track:5UrCArd6UDDR2EPFOeWCxb
0.921,0.179,131.011,0.0734,5.37e-06,0.903,4,0.423,7,214351,-1.67,0.187,1,audio_features,spotify:track:4eiTSqoxOWExDu57OSQWgr
0.945,0.161,133.015,0.0639,0.000118,0.896,4,0.619,10,232820,-1.417,0.34,0,audio_features,spotify:track:5Wrd7eU7jcJPoZEU1Z26ow
0.948,0.389,121.016,0.181,0.000451,0.372,4,0.639,4,259835,-5.04,0.328,0,audio_features,spotify:track:68ngtC3pGiTjXcFwxYCJ7Z
0.637,0.11,95.989,0.0332,0.0429,0.752,4,0.638,2,257490,-10.727,0.0664,1,audio_features,spotify:track:539y2n1UYiM2gyYJKGNuuQ
0.764,0.158,143.89,0.0315,0.011,0.0724,4,0.296,11,409000,-4.499,0.144,0,audio_features,spotify:track:2bHpNAMEsB3Wc00y87JTdn
0.825,0.116,110.986,0.0343,0.000407,0.906,4,0.518,2,267520,-10.748,0.0608,1,audio_features,spotify:track:17unhA5Gnc1nLFdg3dKmuO
0.927,0.112,95.075,0.0614,0.0017,0.00134,3,0.49,8,268421,-8.293,0.246,1,audio_features,spotify:track:1mj87L1Bq4lsMvskI1jHQP
